349206.6667	65850	12516	2617.565458	8500	25300	38433.63	259	268	14.6	33.4	67.6	6.79	23.6	4.29	0.42	3.85	0.61	3.53	0.74	2.61	0.39	2.95	0.46	79.8	26.1	11.3220339	3.057471264
341973.3333	67850	12516	3376.12196	8928.571429	26264.51613	37935.57	373	246	13	23.9	44.5	4.71	16.2	2.78	0.46	2.69	0.46	2.63	0.58	2.05	0.31	2.32	0.38	103	20.5	10.30172414	5.024390244
348646.6667	66250	12523	2235.569183	8500	26709.67742	36524.4	307	276	15.4	29.5	51.2	6.13	21.4	3.94	0.44	3.46	0.58	3.23	0.66	2.26	0.33	2.46	0.37	83.1	23.5	11.99186992	3.536170213
347620	66000	12453	2245.31406	8285.714286	26561.29032	36358.38	292	270	15.5	24.1	46.2	4.98	17.9	3.37	0.33	3.09	0.52	2.93	0.61	2.11	0.32	2.41	0.38	73.6	22.3	10	3.30044843
349440	64800	14056	3433.627399	9857.142857	25225.80645	39014.7	156	316	16.1	22.8	42.1	4.88	15.9	3.25	0.34	2.97	0.49	3.35	0.74	2.25	0.36	2.67	0.42	67.4	22	8.539325843	3.063636364
351866.6667	65750	12145	2080.021567	7428.571429	27229.03226	38682.66	142	343	19.3	27.5	49.1	5.75	18.4	3.62	0.32	3.5	0.56	3.75	0.81	2.5	0.41	3.05	0.47	75.3	24.1	9.016393443	3.124481328
356300	63750	9989	2173.223674	6642.857143	25522.58065	39844.8	176	314	14.8	26.2	48.8	5.36	17.2	3.26	0.31	3.08	0.5	3.14	0.72	2.22	0.37	2.58	0.4	59.6	21.4	10.15503876	2.785046729
356346.6667	63450	10164	1882.799452	6571.428571	25967.74194	39761.79	143	330	17.1	28.3	53.2	5.77	18.6	3.48	0.26	3.22	0.52	3.53	0.75	2.34	0.4	2.9	0.48	61.5	23.9	9.75862069	2.573221757
356206.6667	64150	9849	1743.787321	6500	25745.16129	40010.82	152	329	15.9	28.2	51.1	5.78	18.6	3.58	0.29	3.14	0.54	3.54	0.74	2.31	0.38	2.83	0.46	62.4	23.1	9.964664311	2.701298701
341880	69250	16765	2967.015431	12857.14286	25670.96774	37354.5	529	249	14.8	33.3	57.3	6.61	22.1	3.88	0.7	3.31	0.52	3.27	0.71	2.1	0.31	2.33	0.34	146	20.8	14.29184549	7.019230769
339313.3333	68950	17409	3197.248114	15428.57143	26041.93548	28555.44	374	265	16.8	43.3	82.2	9.08	30.8	5.67	0.61	4.93	0.76	4.84	0.99	3.01	0.54	3.38	0.58	163	32.1	12.81065089	5.07788162
346873.3333	67000	13293	3146.14188	9714.285714	25522.58065	33120.99	380	294	18.5	38.4	75.1	7.8	25.7	4.71	0.46	3.92	0.62	4.1	0.84	2.59	0.47	3.13	0.52	147	28.1	12.26837061	5.231316726
357420	63400	9975	2001.596129	7357.142857	24038.70968	33868.08	143	347	14.7	28.7	55.2	5.82	19.3	3.68	0.23	3.3	0.52	3.54	0.71	2.32	0.42	2.73	0.48	57.9	24.2	10.51282051	2.392561983
323680	64550	40600	2749.154368	8500	20254.83871	41338.98	398	309	37.6	81.8	154	15.8	50.6	8.74	0.38	7.18	1.11	6.54	1.39	4.1	0.75	4.71	0.83	62.4	45.5	17.36730361	1.371428571
359333.3333	62050	6076	3724.228006	8214.285714	23593.54839	30381.66	42.4	546	41.9	17.6	43	6.03	24.4	8.96	0.04	10.1	1.83	12.2	2.53	7.15	1.31	7.82	1.31	32.1	86.2	2.250639386	0.372389791
352473.3333	64700	10703	3356.925621	6857.142857	23445.16129	35445.27	192	299	11.8	24.2	45.3	4.65	14.8	2.84	0.32	2.29	0.35	2.27	0.45	1.45	0.27	1.88	0.33	127	16.5	12.87234043	7.696969697
333900	68000	21777	2895.525551	13071.42857	23964.51613	38599.65	600	236	13.5	36.5	62	7.1	22.2	4	0.64	3.48	0.61	3.32	0.74	2.11	0.42	2.26	0.35	144	20.5	16.15044248	7.024390244
351213.3333	62100	14791	1773.929138	6785.714286	24038.70968	39180.72	163	334	18.1	30.4	58.2	6.39	20.9	3.73	0.23	3.53	0.65	3.49	0.83	2.32	0.45	3.14	0.47	82.5	24.7	9.681528662	3.340080972
353173.3333	62350	11823	2267.49384	6857.142857	24335.48387	39014.7	154	320	16.4	26	45.2	4.99	15.8	2.97	0.26	2.63	0.45	2.76	0.67	1.92	0.36	2.56	0.48	54.1	18.4	10.15625	2.940217391
336700	66600	13825	3250.050672	16357.14286	26041.93548	37354.5	411	260	12.8	31.6	60	6.33	20.1	3.6	0.49	3.07	0.49	3.01	0.67	1.94	0.33	2.33	0.37	150	20	13.56223176	7.5
359706.6667	61100	8820	1239.674554	5857.142857	23816.12903	38350.62	119	339	17.4	29.1	55.3	6.07	18.9	3.5	0.23	3.44	0.6	3.85	0.85	2.68	0.45	3.67	0.52	44.8	27.5	7.929155313	1.629090909
334273.3333	67100	20146	2598.464089	15785.71429	24558.06452	35279.25	436	208	17.5	41.4	78.3	8.66	29.4	5.01	0.59	4.69	0.8	4.96	1.03	3.29	0.52	3.6	0.49	166	32.7	11.5	5.076452599
351960	65100	8680	874.7607848	6714.285714	26190.32258	38184.6	111	431	33	28.2	60.8	7.3	25.9	6.1	0.16	6.51	1.2	8.12	1.73	5.28	0.93	7.01	0.94	46	59.9	4.022824536	0.767946578
345566.6667	66050	16044	2472.495412	11428.57143	26783.87097	36524.4	338	243	14.35	39.8	78.9	8.13	27.3	4.67	0.53	4.34	0.77	4.36	0.92	2.8	0.46	3.34	0.52	124	26.4	11.91616766	4.696969697
342953.3333	68600	15071	2539.905268	11642.85714	27822.58065	36773.43	347	251	14.52	39.4	77.7	7.73	25.2	4.51	0.51	4.02	0.72	3.92	0.82	2.54	0.41	2.95	0.47	137	23.7	13.3559322	5.780590717
345566.6667	66600	14490	2509.226418	9285.714286	25596.77419	41671.02	322	275	11.6	43.5	86.4	9.1	28.7	4.7	0.52	3.98	0.62	3.35	0.71	2.22	0.33	2.29	0.38	121	20.2	18.99563319	5.99009901
345146.6667	65650	14952	2898.233155	12214.28571	26487.09677	35528.28	317	248	16.6	32.8	65.5	6.97	23.5	4.49	0.46	3.8	0.7	4.3	0.9	2.99	0.47	3.39	0.55	122	26.8	9.675516224	4.552238806
337400	68700	16478	2877.346095	22642.85714	30345.16129	25733.1	275	166	17.35	24.2	48.5	5.55	19.8	4.11	0.48	3.65	0.68	4.24	0.93	2.97	0.45	3.22	0.48	187	27.6	7.51552795	6.775362319
354153.3333	61400	8939	3317.513267	7571.428571	19364.51613	40840.92	102	294	22.36	27.2	57.3	6.37	22.2	4.82	0.19	4.7	0.87	5.36	1.13	3.94	0.67	4.86	0.76	63.3	40.3	5.596707819	1.570719603
349626.6667	61350	9751	3194.176888	10214.28571	16470.96774	42584.13	112	313	20.44	22.5	47.4	5.16	18.6	4.46	0.18	4.51	0.83	5.72	1.2	4.22	0.67	5.02	0.77	89.9	41.7	4.482071713	2.1558753
355553.3333	63450	9051	2161.762118	5571.428571	26858.06452	37852.56	117	344	23.86	28.9	60.4	6.52	22.9	5.18	0.17	4.52	0.9	5.55	1.18	3.59	0.58	4.22	0.64	43.8	33.1	6.848341232	1.32326284
351026.6667	64550	11158	2223.11002	6500	25374.19355	42335.1	185	266	18.52	32.1	61	6.1	19.8	3.85	0.28	3.35	0.65	4.13	0.94	3.06	0.51	3.97	0.65	89	28.6	8.085642317	3.111888112
355040	61100	11424	2328.250686	6571.428571	25374.19355	39097.71	171	286	16.77	34	66.3	6.55	21.8	4.21	0.23	3.78	0.66	3.91	0.852	2.79	0.49	3.57	0.59	60	26.8	9.523809524	2.23880597
